slug|word|part_of_speech|ipa|cefr|zipf|formula|thesis|short_definition|contrast_word|contrast_meaning|hook|domain|collocation_1|register_1|collocation_2|register_2|collocation_3|register_3|tags
emanate|emanate|verb|EM-uh-nayt · UK /ˈem.ə.neɪt/ · US /ˈem.ə.neɪt/|C1|2.78|come out from a source and spread outward|不是突然掉下來，而是從某個中心往外散出去。|表示氣味、聲音、光線或情緒從源頭發出並擴散。|radiate|散發|像房間角落點了一盞燈，亮意慢慢把四周都推開。|氣味描寫、情緒感受與訊號來源|emanate from the room|敘事 / 場景|warmth emanates|情緒 / 描寫|sound emanates|工程 / 聲學|從源頭散出,亮意慢慢推開四周,radiate,source,atmosphere,verb,emanate
embitter|embitter|verb|em-BIT-er · UK /ɪmˈbɪt.ər/ · US /ɪmˈbɪt̬.ɚ/|C2|2.37|make someone's outlook turn sour with hurt|不是只讓人難過，而是讓心裡整體變苦。|表示使人怨恨、憤懣或因受傷而性情轉苦。|upset|使難過|像茶本來溫熱可入口，卻被滴進太多苦汁，整杯味道都變了。|長期失望、社會處境與人物心理|embitter a generation|公共 / 社會|embittered by loss|情緒 / 敘事|embitter the relationship|人際 / 關係|讓心裡變苦,整杯茶都苦掉了,upset,resentment,relationships,verb,embitter
embellish|embellish|verb|em-BEL-ish · UK /ɪmˈbel.ɪʃ/ · US /ɪmˈbel.ɪʃ/|C1|2.69|add detail or ornament beyond the bare core|不是補必要資訊，而是再多加一些裝飾或戲劇性。|表示潤飾、添增細節，或把故事說得更花。|decorate|裝飾|像素色布料上又縫了一圈亮線，功能沒變，但外觀更抓眼。|寫作修飾、故事敘述與設計處理|embellish the story|敘事 / 寫作|embellish the design|設計 / 視覺|embellish the truth|評論 / 語氣|額外加花,素布上縫亮線,decorate,writing,design,verb,embellish
enact|enact|verb|ih-NAKT · UK /ɪˈnækt/ · US /ɪˈnækt/|C1|3.01|bring a rule or role into actual force|不是只提案，而是把文字真正變成現實中的效力。|表示制定法律、實施措施，或把角色演出來。|implement|實施|像藍圖離開桌面，真正變成街角已經豎起的路牌。|立法程序、政策執行與角色表演|enact a law|法規 / 制度|enact reforms|公共 / 政策|enact the role|表演 / 敘事|讓文字生效,藍圖變成路牌,implement,policy,law,verb,enact
endeavor|endeavor|noun|en-DEV-er · UK /ɪnˈdev.ər/ · US /ɪnˈdev.ɚ/|C1|2.76|serious effort directed toward a worthwhile goal|不是隨手試試，而是帶著目的和投入往前推的一件事。|表示認真追求的努力、事業或嘗試。|effort|努力|像船不是在原地打轉，而是明知有浪還朝某個方向穩穩划。|研究工作、創作計畫與長期追求|joint endeavor|合作 / 團隊|creative endeavor|創作 / 藝術|scientific endeavor|研究 / 學術|有方向的努力,明知有浪還穩穩划,effort,project,pursuit,noun,endeavor
enigma|enigma|noun|ih-NIG-muh · UK /ɪˈnɪɡ.mə/ · US /ɪˈnɪɡ.mə/|C2|2.66|a person or thing that stays puzzling at its core|不是一個小問題，而是整體都透著解不開的感覺。|表示難解之謎，或難以看透的人事物。|mystery|謎|像窗內有人影在走動，你看見輪廓很多次，卻始終看不清臉。|人物描寫、品牌印象與分析難題|remain an enigma|人物 / 描寫|political enigma|公共 / 分析|an enduring enigma|敘事 / 評論|難解之謎,看見輪廓卻看不清臉,mystery,analysis,persona,noun,enigma
ennui|ennui|noun|ahn-WEE · UK /ɒnˈwiː/ · US /ɑːnˈwiː/|C2|2.31|deep boredom that drains appetite for things|不是一時無聊，而是整個人對周圍失去鮮味。|表示厭倦、倦怠、百無聊賴的空虛感。|boredom|無聊|像桌上菜還很多，但味覺像被薄霧蓋住，怎樣都提不起勁。|情緒狀態、城市描寫與人生倦怠|urban ennui|文化 / 評論|sink into ennui|情緒 / 敘事|modern ennui|生活 / 描寫|深層倦怠,味覺像被薄霧蓋住,boredom,emotion,culture,noun,ennui
enshrine|enshrine|verb|en-SHRYN · UK /ɪnˈʃraɪn/ · US /ɪnˈʃraɪn/|C2|2.46|set something in a protected place of lasting honor|不是暫時保留，而是把它放進不易被動搖的位置。|表示把價值、權利或記憶正式寫進制度或珍藏。|preserve|保存|像把一張重要紙頁放進玻璃框裡，從此不再只是隨手放著。|憲政條文、組織價值與紀念保存|enshrine the right|法規 / 制度|enshrine the principle|治理 / 文化|enshrine in memory|敘事 / 情感|正式珍藏,放進玻璃框裡,preserve,rights,memory,verb,enshrine
enumerate|enumerate|verb|ih-NOO-muh-rayt · UK /ɪˈnjuː.mə.reɪt/ · US /ɪˈnuː.mə.reɪt/|C1|2.59|set out items one by one in order|不是籠統提到，而是逐條點清楚。|表示列舉、逐項說明。|list|列出|像桌上零件一個一個排開，讓你知道缺的是哪一顆。|需求整理、法規條列與教學說明|enumerate the steps|教學 / 流程|enumerate the risks|管理 / 風險|enumerate the items|文件 / 條列|逐條點清楚,零件一個個排開,list,steps,documentation,verb,enumerate
equivocal|equivocal|adjective|ih-KWIV-uh-kul · UK /ɪˈkwɪv.ə.kəl/ · US /ɪˈkwɪv.ə.kəl/|C2|2.43|open to more than one reading without firm commitment|不是細膩，而是模稜到你抓不到他到底站哪邊。|表示含糊不清、模稜兩可。|ambiguous|模糊|像路標箭頭同時偏向左右兩邊，走的人反而更不敢動。|官方回應、法律文字與人際表態|equivocal answer|溝通 / 回應|equivocal language|法務 / 文件|equivocal stance|公共 / 立場|模稜兩可,箭頭同時偏左右,ambiguous,language,stance,adjective,equivocal
eradicate|eradicate|verb|ih-RAD-ih-kayt · UK /ɪˈræd.ɪ.keɪt/ · US /ɪˈræd.ə.keɪt/|C1|2.77|remove something harmful root and all|不是壓下去，而是連根一起清掉。|表示根除疾病、害蟲、弊端或長期問題。|eliminate|消除|像拔雜草不是剪掉上面，而是把根一併拉出土。|公共衛生、系統治理與問題整治|eradicate the disease|公共 / 健康|eradicate corruption|治理 / 公共|eradicate the bug|工程 / 品質|連根清掉,拔草把根一起拉出,eliminate,health,governance,verb,eradicate
exacerbate|exacerbate|verb|ig-ZAS-er-bayt · UK /ɪɡˈzæs.ə.beɪt/ · US /ɪɡˈzæs.ɚ.beɪt/|C1|2.73|make an already bad condition worse|不是造成新問題，而是把原來就有的痛點再往上推。|表示使局勢惡化、加劇症狀或衝突。|worsen|惡化|像傷口本來就在滲，結果又被反覆碰到，紅腫更快擴大。|醫療狀態、社會爭議與專案風險|exacerbate the conflict|人際 / 公共|exacerbate symptoms|健康 / 醫療|exacerbate delays|專案 / 進度|讓壞的更壞,傷口被碰到更紅腫,worsen,conflict,symptoms,verb,exacerbate
exalt|exalt|verb|ig-ZAWLT · UK /ɪɡˈzɒlt/ · US /ɪɡˈzɑːlt/|C2|2.37|lift someone or something to a place of high praise|不是肯定而已，而是幾乎把它捧到很高的位置。|表示頌揚、抬高、使地位提升。|praise|讚揚|像把一件普通器物放上高臺打燈，所有人的視線都被引上去。|宗教語氣、評論修辭與品牌敘事|exalt the hero|敘事 / 評論|exalt virtue|倫理 / 文化|exalt the brand|商業 / 敘事|高高捧起,放上高臺打燈,praise,culture,brand,verb,exalt
