slug|word|part_of_speech|ipa|cefr|zipf|formula|thesis|short_definition|contrast_word|contrast_meaning|hook|domain|collocation_1|register_1|collocation_2|register_2|collocation_3|register_3|tags
accrue|accrue|verb|uh-KROO · UK /əˈkruː/ · US /əˈkruː/|C1|3.49|slow gain through accumulation|不是突然得到，而是讓價值、利息、責任或證據一點一點累積上來。|表示某物在時間推進中逐步增加、累積，或附著到你身上。|gain|得到或增加|像帳本上每過一格就多一筆，久了才看見分量。|財務、責任、證據與長期成果|accrue interest|財務 / 合約|accrue benefits|政策 / 人資|accrue responsibility|工作 / 組織|累積,逐步增加,gain,finance,liability,verb,accrue
adrift|adrift|adjective|uh-DRIFT · UK /əˈdrɪft/ · US /əˈdrɪft/|C1|3.07|without a secure point of attachment|不是單純漂浮，而是失去方向、連結或固定點之後，被情勢慢慢帶走。|表示沒有穩定依附點、方向感或掌控感，因而處於漂移狀態。|lost|迷路或找不到|像船離開繫繩後不一定立刻翻覆，但會慢慢被水流帶走。|人生狀態、組織方向與情緒描寫|feel adrift|情緒 / 日常|adrift in the transition|職涯 / 人生階段|set adrift|敘事 / 比喻|漂流,失去依附,lost,transition,identity,adjective,adrift
agile|agile|adjective|AJ-uhl · UK /ˈædʒ.aɪl/ · US /ˈædʒ.əl/|B2|4.01|quick response without stiffness|不是只說快，而是動得快、轉得快，而且不會因為笨重流程卡住。|表示動作、思考或組織反應靈活，能迅速調整方向。|fast|速度快|像輕巧的腳步不是衝刺而已，而是能在轉彎時不失去平衡。|產品開發、組織反應與身體動作|agile response|產品 / 管理|agile team|工作 / 組織|agile movement|身體 / 運動|靈活,敏捷,fast,product,teamwork,adjective,agile
align|align|verb|uh-LYNE · UK /əˈlaɪn/ · US /əˈlaɪn/|C1|4.23|bring into the same line or direction|不是把東西排整齊而已，而是讓目標、行為或結構朝同一方向用力。|表示把多個元素調到同一條線上，使它們彼此一致或配合。|match|相符或配對|像多個齒輪角度終於對上，力量才開始真正傳出去。|策略、溝通、機構調整與介面設計|align priorities|管理 / 規劃|align the sensor|硬體 / 校準|align with the goal|策略 / 溝通|對齊,一致,match,strategy,calibration,verb,align
amplify|amplify|verb|AM-pluh-fy · UK /ˈæm.plɪ.faɪ/ · US /ˈæm.plə.faɪ/|C1|3.67|make the signal or effect larger|不是憑空創造，而是把原本已存在的聲音、效果或情緒放大。|表示增加音量、影響、差異或訊號強度，使其更明顯。|increase|增加|像轉大旋鈕後，同一段聲音突然充滿整個房間。|訊號處理、社群傳播與情緒描述|amplify the signal|工程 / 電路|amplify a concern|溝通 / 組織|amplify the effect|分析 / 敘事|放大,訊號,增加,increase,signal,verb,amplify
anchor|anchor|verb|ANG-ker · UK /ˈæŋ.kər/ · US /ˈæŋ.kɚ/|C1|4.02|hold something steady around a fixed point|不是只停住，而是找到一個固定點，讓整體不會被外力拖走。|表示把某物固定、穩住，或讓思考與決策有可靠基準。|fix|固定|像船錨下去之後，海面還在動，但位置不再任意漂。|介面結構、決策基準與心理穩定|anchor the layout|介面 / 設計|anchor the discussion|會議 / 溝通|anchor on evidence|分析 / 判斷|錨定,穩住,fix,design,decision,verb,anchor
arcane|arcane|adjective|ar-KAYN · UK /ɑːˈkeɪn/ · US /ɑːrˈkeɪn/|C2|2.82|known only to a small initiated circle|不是只是難，而是像被一小圈人掌握的隱密知識。|表示知識、規則或系統過於冷僻，只被少數內行人理解。|obscure|難懂或不明顯|像只有維護多年舊系統的人，才看得懂那幾行古老設定。|舊系統、專門知識與制度細節|arcane rules|制度 / 法規|arcane syntax|程式 / 工具鏈|arcane knowledge|學術 / 社群|冷僻,內行人才懂,obscure,legacy,knowledge,adjective,arcane
articulate|articulate|adjective|ar-TIK-yuh-lit · UK /ɑːˈtɪk.jə.lət/ · US /ɑːrˈtɪk.jə.lət/|C1|3.58|clear expression with shaped structure|不是只會說，而是能把想法整理成別人容易跟上的形狀。|表示表達清楚、有條理，能準確說出複雜想法。|clear|清楚|像把散亂線頭一根根理順，最後變成一束可講述的結構。|寫作、簡報、會議與教學|articulate explanation|寫作 / 教學|articulate speaker|簡報 / 溝通|articulate the problem|工程 / 分析|表達清楚,有條理,clear,writing,communication,adjective,articulate
ascendancy|ascendancy|noun|uh-SEN-duhn-see · UK /əˈsen.dən.si/ · US /əˈsen.dən.si/|C2|2.66|rising influence that becomes dominant|不是一時領先，而是影響力一路上升，最後主導局面。|表示權勢、影響力或優勢逐漸取得主導地位。|dominance|支配或主導|像聲量原本只是背景雜訊，後來卻一路蓋過其他所有頻道。|市場變化、權力關係與思想潮流|gain ascendancy|政治 / 組織|cultural ascendancy|社會 / 文化|tech ascendancy|產業 / 市場|主導地位,影響力上升,dominance,market,power,noun,ascendancy
assertive|assertive|adjective|uh-SUR-tiv · UK /əˈsɜː.tɪv/ · US /əˈsɝː.t̬ɪv/|C1|3.43|clear self-position without needless aggression|不是兇，而是把界線與立場說清楚，不靠退縮也不靠壓人。|表示表達主張時清楚、直接、有邊界感。|aggressive|咄咄逼人或高壓|像門是穩穩關上的，不是砰一聲甩上去。|職場溝通、界線管理與回饋表達|assertive tone|溝通 / 人際|assertive leadership|管理 / 團隊|assertive response|工作 / 協作|有主張,有界線,aggressive,communication,leadership,adjective,assertive
astute|astute|adjective|uh-STYOOT · UK /əˈstjuːt/ · US /əˈstuːt/|C2|3.05|sharp judgment that notices what matters|不是聰明而已，而是能迅速看出局勢裡真正關鍵的那一點。|表示觀察敏銳、判斷精準，能抓到重要信號。|smart|聰明|像在一整面 log 裡，一眼就看見真正造成故障的那一行。|商業判斷、分析推理與人際觀察|astute observation|分析 / 研究|astute investor|商業 / 財務|astute reading of the room|人際 / 溝通|敏銳判斷,眼光準,smart,analysis,business,adjective,astute
austere|austere|adjective|aw-STEER · UK /ɒˈstɪər/ · US /ɑːˈstɪr/|C2|2.89|severely plain and stripped back|不是簡約到舒服，而是把裝飾和餘裕都削到很少。|表示風格、條件或制度樸素、嚴峻、近乎克制過頭。|plain|樸素|像房間裡只剩桌子、椅子和冷光，功能在，但溫度被抽掉了。|視覺風格、財政條件與生活狀態|austere design|設計 / 空間|austere budget|財務 / 管理|austere lifestyle|生活 / 敘事|嚴峻,極簡,plain,design,budget,adjective,austere
avert|avert|verb|uh-VURT · UK /əˈvɜːt/ · US /əˈvɝːt/|C1|3.24|turn away before the problem fully lands|不是事後修，而是在事情真正打到你之前先把它偏開。|表示提前避免、擋開或轉移某個不想發生的結果。|avoid|避免|像手還沒被門夾到之前，先把門推開一點。|風險管理、事故預防與視線動作|avert disaster|風險 / 管理|avert a crisis|組織 / 決策|avert your eyes|日常 / 身體|避免災難,提前偏開,avoid,risk,prevention,verb,avert
ballast|ballast|noun|BAL-uhst · UK /ˈbæl.əst/ · US /ˈbæl.əst/|C2|2.58|weight that keeps a system from tipping over|不是累贅，而是讓整體穩定、不至於翻覆的必要重量。|表示用來穩住系統、船體或局面的壓艙物，也可作比喻。|stability|穩定|像船底那一層看不見的重量，平常安靜，但遇浪時全靠它。|工程穩定、組織節奏與比喻性寫作|provide ballast|工程 / 系統|emotional ballast|心理 / 敘事|ballast in the schedule|管理 / 規劃|壓艙,穩定重量,stability,systems,planning,noun,ballast
beacon|beacon|noun|BEE-kuhn · UK /ˈbiː.kən/ · US /ˈbiː.kən/|C1|3.33|a visible point that guides direction|不是普通燈，而是在遠處替你標出方向的亮點。|表示用來引導、警示或象徵希望的信號與標記。|signal|訊號|像夜裡遠方的一點光，還沒帶你到岸，但先讓你知道岸在哪。|導航提示、產品方向與象徵性書寫|a beacon of hope|敘事 / 情感|warning beacon|工程 / 安全|beacon signal|通訊 / 裝置|燈塔,指引,signal,navigation,hope,noun,beacon
brittle|brittle|adjective|BRIT-uhl · UK /ˈbrɪt.əl/ · US /ˈbrɪt̬.əl/|C1|3.22|hard on the surface but easy to snap under stress|不是堅硬就可靠，而是看起來硬，真正受力時卻一下就裂。|表示材料、系統或情緒缺乏韌性，容易突然破裂。|fragile|脆弱|像餅乾邊緣乾乾硬硬，輕輕一壓就整片碎掉。|材料性質、測試設計與情緒描寫|brittle code|軟體 / 測試|brittle material|材料 / 工程|brittle confidence|心理 / 敘事|脆裂,缺乏韌性,fragile,testing,materials,adjective,brittle
buoyant|buoyant|adjective|BOY-uhnt · UK /ˈbɔɪ.ənt/ · US /ˈbɔɪ.ənt/|C1|3.18|able to stay up lightly despite downward force|不是輕飄，而是受到壓力時仍能浮起來、回到較高的位置。|表示會浮、有彈性，或情緒與市場保持樂觀上揚。|optimistic|樂觀|像球被壓進水裡後還是一直想往上回來。|市場情緒、精神狀態與物理浮力|buoyant mood|情緒 / 日常|buoyant market|商業 / 財務|buoyant material|物理 / 工程|上浮,回彈,optimistic,market,mood,adjective,buoyant
cadence|cadence|noun|KAY-duhns · UK /ˈkeɪ.dəns/ · US /ˈkeɪ.dəns/|C1|3.27|the felt rhythm of recurring movement or speech|不是節拍器式的拍點，而是整段動作或語句流動起來的節奏感。|表示語言、步伐、流程或工作推進的節律。|rhythm|節奏|像你一聽就知道這段話是慢慢鋪陳還是短促推進。|寫作節奏、團隊流程與步伐控制|speaking cadence|口語 / 簡報|release cadence|產品 / 流程|cadence of the steps|身體 / 動作|節奏感,節律,rhythm,writing,workflow,noun,cadence
canny|canny|adjective|KAN-ee · UK /ˈkæn.i/ · US /ˈkæn.i/|C2|2.74|smart in a practical and watchful way|不是書本聰明，而是很會看風向、算成本、抓時機。|表示精明、機警、很會為自己或局勢盤算。|clever|聰明|像逛市場時你不吵不鬧，但總能挑到最划算的那一袋。|商業談判、日常判斷與策略選擇|canny decision|策略 / 判斷|canny investor|商業 / 財務|canny use of resources|管理 / 規劃|精明,會算,clever,business,strategy,adjective,canny
capricious|capricious|adjective|kuh-PRISH-us · UK /kəˈprɪʃ.əs/ · US /kəˈprɪʃ.əs/|C2|2.69|changing direction on a whim|不是靈活，而是沒有穩定規律地忽然改變。|表示情緒、決定或外部條件反覆無常、難以預測。|unpredictable|無法預測|像天氣原本還亮著，忽然就轉雨，連前奏都沒有。|人際判斷、天氣描述與市場行為|capricious mood|情緒 / 人際|capricious weather|自然 / 日常|capricious market|市場 / 財務|反覆無常,任性變化,unpredictable,mood,market,adjective,capricious
caustic|caustic|adjective|KAW-stik · UK /ˈkɔː.stɪk/ · US /ˈkɑː.stɪk/|C2|2.86|so sharp that it burns through the surface|不是直接而已，而是語氣尖到會腐蝕人或表面。|表示言語、幽默或化學性質帶有灼傷、刺痛感。|harsh|尖刻|像一句評論不是擦過去，而是留下灼痕。|評論語氣、化學性質與諷刺描寫|caustic remark|溝通 / 人際|caustic wit|寫作 / 評論|caustic solution|化學 / 工程|尖刻,腐蝕性,harsh,critique,chemistry,adjective,caustic
clamor|clamor|noun|KLAM-er · UK /ˈklæm.ər/ · US /ˈklæm.ɚ/|C2|2.79|loud collective demand or noise|不是單一大聲，而是很多聲音同時湧上來，形成壓力。|表示喧鬧聲，或群體強烈要求某事的聲浪。|noise|噪音|像會議外一堆訊息同時跳出來，瞬間把你整個畫面佔滿。|公共輿論、社群聲量與群體要求|public clamor|社會 / 政治|clamor for change|組織 / 群體|media clamor|新聞 / 社群|聲浪,喧鬧,noise,public,media,noun,clamor
coalesce|coalesce|verb|koh-uh-LES · UK /ˌkəʊ.əˈles/ · US /ˌkoʊ.əˈles/|C2|2.88|separate pieces coming together into one form|不是單純聚在一起，而是原本分散的東西逐漸凝成一體。|表示不同觀點、群體或物質慢慢合流成較完整的整體。|combine|結合|像霧裡的小水珠彼此靠近，最後終於連成可以看見的滴。|團隊共識、資料整合與物質聚合|coalesce around an idea|策略 / 組織|coalesce into a plan|工作 / 規劃|coalesce droplets|科學 / 物理|凝聚成形,合流,combine,teamwork,data,verb,coalesce
codify|codify|verb|KOH-duh-fy · UK /ˈkəʊ.dɪ.faɪ/ · US /ˈkoʊ.də.faɪ/|C1|3.11|turn recurring practice into a formal code|不是只是寫下來，而是把散的做法變成大家要遵守的明文。|表示將規則、慣例或知識正式整理成系統化條文。|document|記錄|像大家一直口頭傳承的技巧，終於被刻進一本真正能查的手冊。|流程文件、法規制度與工程規格|codify the process|流程 / 管理|codify best practices|工程 / 團隊|codify the rules|法規 / 制度|制度化,成文化,document,process,policy,verb,codify
complacent|complacent|adjective|kuhm-PLAY-suhnt · UK /kəmˈpleɪ.sənt/ · US /kəmˈpleɪ.sənt/|C1|3.36|too satisfied to notice rising risk|不是滿足，而是滿足到失去警覺。|表示因為過度自滿而不再警惕問題或改進需求。|content|滿足|像你以為系統很穩，就不再看警示燈，結果問題在角落慢慢長大。|風險意識、團隊文化與個人狀態|become complacent|工作 / 成長|complacent attitude|組織 / 文化|complacent about security|安全 / 工程|自滿,失去警覺,content,risk,security,adjective,complacent
concession|concession|noun|kuhn-SESH-uhn · UK /kənˈseʃ.ən/ · US /kənˈseʃ.ən/|C1|3.42|a point yielded to keep the larger path open|不是認輸，而是為了讓整體能往前走，先讓出一部分。|表示讓步、妥協，或在談判中承認對方某一點。|compromise|妥協|像下棋時先退一步，不是因為沒棋走，而是要保住更大的局面。|談判策略、設計取捨與論證結構|make a concession|談判 / 溝通|concession on the timeline|管理 / 專案|strategic concession|策略 / 分析|讓步,退一步,compromise,negotiation,tradeoff,noun,concession
conduit|conduit|noun|KON-doo-it · UK /ˈkɒn.dju.ɪt/ · US /ˈkɑːn.du.ɪt/|C1|3.08|a channel through which something moves|不是內容本身，而是讓內容、能量或資訊通過的管道。|表示傳輸水、電、資訊或影響的通路與媒介。|channel|通道|像牆裡的線管本身不發光，但沒有它，電就過不去。|電氣配線、資訊流與影響傳遞|conduit for data|系統 / 資料|electrical conduit|硬體 / 工程|conduit of influence|組織 / 社會|通路,媒介,channel,data,electrical,noun,conduit
confound|confound|verb|kuhn-FOUND · UK /kənˈfaʊnd/ · US /kənˈfaʊnd/|C2|2.87|mix things up so the pattern becomes hard to read|不是單純困惑，而是把訊號和干擾攪在一起，讓判讀失真。|表示使人困惑，或在分析中造成干擾、混淆結果。|confuse|使困惑|像兩條線纏在一起後，你分不清哪條才是原本要追的那一條。|研究分析、溝通理解與資料解讀|confound the results|研究 / 分析|confounding variable|統計 / 實驗|confound the reader|寫作 / 敘事|混淆,干擾,confuse,analysis,statistics,verb,confound
confluence|confluence|noun|KON-floo-uhns · UK /ˈkɒn.flu.əns/ · US /ˈkɑːn.flu.əns/|C2|2.72|multiple streams meeting and strengthening each other|不是碰巧同時出現，而是幾股力量匯流後形成更大的流向。|表示河流匯合，或多種因素交會並共同產生效果。|intersection|交會點|像兩條河靠近時水面開始變寬，聲音也一起變大。|系統因素、歷史轉折與策略分析|confluence of factors|分析 / 研究|at the confluence|地理 / 敘事|confluence of trends|市場 / 產品|匯流,交會,intersection,trends,analysis,noun,confluence
